Timestamp,Thrust_0deg_kg,Thrust_90deg_kg,Thrust_180deg_kg,Thrust_270deg_kg,Total_Weight_kg,Net_Thrust_N,Actual_RPM,Commanded_RPM,ESC_Torque_Nm,Motor_Temp_C,ESC_Temp_C,Current_A,DC_Voltage_V,Output_Voltage_V,Battery_Voltage_V,Bus_Voltage_V,Power_W,ESC_Inlet_Pressure_Bar,ESC_Inlet_Flow_Lpm,Motor_Inlet_Temp_C,ESC_Inlet_Temp_C,Accel_X_g,Accel_Y_g,Accel_Z_g,Motor_Flow_Lpm,Fin_Inlet_Temp_C,Fin_Outlet_Temp_C
2026-05-04 16:33:28.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,40.9,-0.012,-0.002,-1.005,0.0,39.8,40.4
2026-05-04 16:33:28.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.159,7.07,40.8,40.9,-0.012,-0.002,-1.005,0.0,39.8,40.4
2026-05-04 16:33:28.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.159,7.07,40.8,40.9,-0.012,-0.002,-1.005,0.0,39.8,40.4
2026-05-04 16:33:28.550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.159,7.07,40.8,40.9,-0.012,-0.002,-1.005,0.0,39.8,40.4
2026-05-04 16:33:28.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.159,7.07,40.8,40.8,-0.012,-0.001,-1.004,0.0,39.8,40.4
2026-05-04 16:33:28.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.157,7.07,40.8,40.8,-0.012,-0.001,-1.004,0.0,39.8,40.4
2026-05-04 16:33:28.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.157,7.07,40.8,40.8,-0.012,-0.001,-1.004,0.0,39.8,40.4
2026-05-04 16:33:28.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.157,7.07,40.8,40.7,-0.012,-0.002,-1.004,0.0,39.8,40.5
2026-05-04 16:33:28.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.157,7.07,40.8,40.7,-0.012,-0.002,-1.004,0.0,39.8,40.5
2026-05-04 16:33:28.880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167,7.07,40.8,40.7,-0.012,-0.002,-1.004,0.0,39.8,40.5
